kafka-1  | ===> User
kafka-1  | [2025-09-15 16:59:17,094] INFO [RaftManager id=1] Attempting durable transition to CandidateState(localId=1, localDirectoryId=5Q2LX7mufIOsWYh_foVFOg, epoch=1, retries=1, epochElection=EpochElection(voterStates={1=VoterState(replicaKey=ReplicaKey(id=1, directoryId=<undefined>), state=GRANTED)}), highWatermark=Optional.empty, electionTimeoutMs=1832) from ProspectiveState(epoch=0, leaderId=OptionalInt.empty, retries=1, votedKey=Optional.empty, epochElection=EpochElection(voterStates={1=VoterState(replicaKey=ReplicaKey(id=1, directoryId=<undefined>), state=GRANTED)}), electionTimeoutMs=1699, highWatermark=Optional.empty) (org.apache.kafka.raft.QuorumState)
kafka-1  | [2025-09-15 16:59:17,098] INFO [RaftManager id=1] Completed transition to CandidateState(localId=1, localDirectoryId=5Q2LX7mufIOsWYh_foVFOg, epoch=1, retries=1, epochElection=EpochElection(voterStates={1=VoterState(replicaKey=ReplicaKey(id=1, directoryId=<undefined>), state=GRANTED)}), highWatermark=Optional.empty, electionTimeoutMs=1832) from ProspectiveState(epoch=0, leaderId=OptionalInt.empty, retries=1, votedKey=Optional.empty, epochElection=EpochElection(voterStates={1=VoterState(replicaKey=ReplicaKey(id=1, directoryId=<undefined>), state=GRANTED)}), electionTimeoutMs=1699, highWatermark=Optional.empty) (org.apache.kafka.raft.QuorumState)
kafka-1  | [2025-09-15 16:59:17,099] INFO [RaftManager id=1] Attempting durable transition to Leader(localReplicaKey=ReplicaKey(id=1, directoryId=5Q2LX7mufIOsWYh_foVFOg), epoch=1, epochStartOffset=0, highWatermark=Optional.empty, voterStates={1=ReplicaState(replicaKey=ReplicaKey(id=1, directoryId=<undefined>), endOffset=Optional.empty, lastFetchTimestamp=-1, lastCaughtUpTimestamp=-1, hasAcknowledgedLeader=true)}) from CandidateState(localId=1, localDirectoryId=5Q2LX7mufIOsWYh_foVFOg, epoch=1, retries=1, epochElection=EpochElection(voterStates={1=VoterState(replicaKey=ReplicaKey(id=1, directoryId=<undefined>), state=GRANTED)}), highWatermark=Optional.empty, electionTimeoutMs=1832) (org.apache.kafka.raft.QuorumState)
kafka-1  | [2025-09-15 16:59:17,104] INFO [RaftManager id=1] Completed transition to Leader(localReplicaKey=ReplicaKey(id=1, directoryId=5Q2LX7mufIOsWYh_foVFOg), epoch=1, epochStartOffset=0, highWatermark=Optional.empty, voterStates={1=ReplicaState(replicaKey=ReplicaKey(id=1, directoryId=<undefined>), endOffset=Optional.empty, lastFetchTimestamp=-1, lastCaughtUpTimestamp=-1, hasAcknowledgedLeader=true)}) from CandidateState(localId=1, localDirectoryId=5Q2LX7mufIOsWYh_foVFOg, epoch=1, retries=1, epochElection=EpochElection(voterStates={1=VoterState(replicaKey=ReplicaKey(id=1, directoryId=<undefined>), state=GRANTED)}), highWatermark=Optional.empty, electionTimeoutMs=1832) (org.apache.kafka.raft.QuorumState)
kafka-1  | [2025-09-15 16:59:17,121] INFO [kafka-1-raft-outbound-request-thread]: Starting (org.apache.kafka.raft.KafkaNetworkChannel$SendThread)
kafka-1  | [2025-09-15 16:59:17,121] INFO [kafka-1-raft-io-thread]: Starting (org.apache.kafka.raft.KafkaRaftClientDriver)
kafka-1  | [2025-09-15 16:59:17,126] INFO [MetadataLoader id=1] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka-1  | [2025-09-15 16:59:17,127] INFO [ControllerServer id=1] Waiting for controller quorum voters future (kafka.server.ControllerServer)
kafka-1  | [2025-09-15 16:59:17,127] INFO [ControllerServer id=1] Finished waiting for controller quorum voters future (kafka.server.ControllerServer)
kafka-1  | [2025-09-15 16:59:17,134] INFO [RaftManager id=1] High watermark set to LogOffsetMetadata(offset=1, metadata=Optional[(segmentBaseOffset=0,relativePositionInSegment=91)]) for the first time for epoch 1 based on indexOfHw 0 and voters [ReplicaState(replicaKey=ReplicaKey(id=1, directoryId=<undefined>), endOffset=Optional[LogOffsetMetadata(offset=1, metadata=Optional[(segmentBaseOffset=0,relativePositionInSegment=91)])], lastFetchTimestamp=-1, lastCaughtUpTimestamp=-1, hasAcknowledgedLeader=true)] (org.apache.kafka.raft.LeaderState)
kafka-1  | [2025-09-15 16:59:17,137] INFO [controller-1-ThrottledChannelReaper-Fetch]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka-1  | [2025-09-15 16:59:17,138] INFO [controller-1-ThrottledChannelReaper-Produce]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka-1  | [2025-09-15 16:59:17,138] INFO [controller-1-ThrottledChannelReaper-Request]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka-1  | [2025-09-15 16:59:17,138] INFO [controller-1-ThrottledChannelReaper-ControllerMutation]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka-1  | [2025-09-15 16:59:17,141] INFO [ExpirationReaper-0-null]: Starting (org.apache.kafka.server.purgatory.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka-1  | [2025-09-15 16:59:17,144] INFO [RaftManager id=1] Registered the listener org.apache.kafka.image.loader.MetadataLoader@99207246 (org.apache.kafka.raft.KafkaRaftClient)
kafka-1  | [2025-09-15 16:59:17,144] INFO [RaftManager id=1] Registered the listener org.apache.kafka.controller.QuorumController$QuorumMetaLogListener@678173746 (org.apache.kafka.raft.KafkaRaftClient)
kafka-1  | [2025-09-15 16:59:17,145] INFO [RaftManager id=1] Setting the next offset of org.apache.kafka.image.loader.MetadataLoader@99207246 to 0 since there are no snapshots (org.apache.kafka.raft.KafkaRaftClient)
kafka-1  | [2025-09-15 16:59:17,146] INFO [RaftManager id=1] Setting the next offset of org.apache.kafka.controller.QuorumController$QuorumMetaLogListener@678173746 to 0 since there are no snapshots (org.apache.kafka.raft.KafkaRaftClient)
kafka-1  | [2025-09-15 16:59:17,159] INFO [MetadataLoader id=1] maybePublishMetadata(LOG_DELTA): The loader is still catching up because we have not loaded a controller record as of offset 0 and high water mark is 1 (org.apache.kafka.image.loader.MetadataLoader)
kafka-1  | [2025-09-15 16:59:17,163] INFO [ControllerServer id=1] Waiting for the controller metadata publishers to be installed (kafka.server.ControllerServer)
kafka-1  | [2025-09-15 16:59:17,163] INFO [ControllerServer id=1] Finished waiting for the controller metadata publishers to be installed (kafka.server.ControllerServer)
kafka-1  | [2025-09-15 16:59:17,164] INFO [MetadataLoader id=1] initializeNewPublishers: The loader is still catching up because we have not loaded a controller record as of offset 0 and high water mark is 1 (org.apache.kafka.image.loader.MetadataLoader)
kafka-1  | [2025-09-15 16:59:17,164] INFO [SocketServer listenerType=CONTROLLER, nodeId=1] Enabling request processing. (kafka.network.SocketServer)
kafka-1  | [2025-09-15 16:59:17,166] INFO Awaiting socket connections on 0.0.0.0:9093. (kafka.network.DataPlaneAcceptor)
kafka-1  | [2025-09-15 16:59:17,171] INFO [controller-1-to-controller-registration-channel-manager]: Starting (kafka.server.NodeToControllerRequestThread)
kafka-1  | [2025-09-15 16:59:17,172] INFO [ControllerServer id=1] Waiting for all of the authorizer futures to be completed (kafka.server.ControllerServer)
kafka-1  | [2025-09-15 16:59:17,172] INFO [ControllerServer id=1] Finished waiting for all of the authorizer futures to be completed (kafka.server.ControllerServer)
kafka-1  | [2025-09-15 16:59:17,172] INFO [ControllerServer id=1] Waiting for all of the SocketServer Acceptors to be started (kafka.server.ControllerServer)
kafka-1  | [2025-09-15 16:59:17,172] INFO [ControllerServer id=1] Finished waiting for all of the SocketServer Acceptors to be started (kafka.server.ControllerServer)
kafka-1  | [2025-09-15 16:59:17,172] INFO [ControllerRegistrationManager id=1 incarnation=SIgJJ0SYQIOxZe6ug8gUdA] initialized channel manager. (kafka.server.ControllerRegistrationManager)
kafka-1  | [2025-09-15 16:59:17,172] INFO [controller-1-to-controller-registration-channel-manager]: Recorded new KRaft controller, from now on will use node kafka:9093 (id: 1 rack: null isFenced: false) (kafka.server.NodeToControllerRequestThread)
kafka-1  | [2025-09-15 16:59:17,173] INFO [ControllerRegistrationManager id=1 incarnation=SIgJJ0SYQIOxZe6ug8gUdA] maybeSendControllerRegistration: cannot register yet because the metadata.version is not known yet. (kafka.server.ControllerRegistrationManager)
kafka-1  | [2025-09-15 16:59:17,173] INFO [BrokerServer id=1] Transition from SHUTDOWN to STARTING (kafka.server.BrokerServer)
kafka-1  | [2025-09-15 16:59:17,173] INFO [BrokerServer id=1] Starting broker (kafka.server.BrokerServer)
kafka-1  | [2025-09-15 16:59:17,180] INFO [broker-1-ThrottledChannelReaper-Fetch]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka-1  | [2025-09-15 16:59:17,180] INFO [broker-1-ThrottledChannelReaper-Produce]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka-1  | [2025-09-15 16:59:17,180] INFO [broker-1-ThrottledChannelReaper-Request]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka-1  | [2025-09-15 16:59:17,180] INFO [broker-1-ThrottledChannelReaper-ControllerMutation]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka-1  | [2025-09-15 16:59:17,194] INFO [MetadataLoader id=1] maybePublishMetadata(LOG_DELTA): The loader finished catching up to the current high water mark of 6 (org.apache.kafka.image.loader.MetadataLoader)
kafka-1  | [2025-09-15 16:59:17,195] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing SnapshotGenerator with a snapshot at offset 5 (org.apache.kafka.image.loader.MetadataLoader)
kafka-1  | [2025-09-15 16:59:17,196] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing KRaftMetadataCachePublisher with a snapshot at offset 5 (org.apache.kafka.image.loader.MetadataLoader)
kafka-1  | [2025-09-15 16:59:17,196] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing FeaturesPublisher with a snapshot at offset 5 (org.apache.kafka.image.loader.MetadataLoader)
kafka-1  | [2025-09-15 16:59:17,198] INFO [ControllerServer id=1] Loaded new metadata Features(metadataVersion=4.0-IV3, finalizedFeatures={group.version=1, transaction.version=2, metadata.version=25}, finalizedFeaturesEpoch=5). (org.apache.kafka.metadata.publisher.FeaturesPublisher)
kafka-1  | [2025-09-15 16:59:17,198] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing ControllerRegistrationsPublisher with a snapshot at offset 5 (org.apache.kafka.image.loader.MetadataLoader)
kafka-1  | [2025-09-15 16:59:17,198] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing ControllerRegistrationManager with a snapshot at offset 5 (org.apache.kafka.image.loader.MetadataLoader)
kafka-1  | [2025-09-15 16:59:17,199] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing DynamicConfigPublisher controller id=1 with a snapshot at offset 5 (org.apache.kafka.image.loader.MetadataLoader)
kafka-1  | [2025-09-15 16:59:17,200] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing DynamicClientQuotaPublisher controller id=1 with a snapshot at offset 5 (org.apache.kafka.image.loader.MetadataLoader)
kafka-1  | [2025-09-15 16:59:17,201] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing DynamicTopicClusterQuotaPublisher controller id=1 with a snapshot at offset 5 (org.apache.kafka.image.loader.MetadataLoader)
kafka-1  | [2025-09-15 16:59:17,201] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing ScramPublisher controller id=1 with a snapshot at offset 5 (org.apache.kafka.image.loader.MetadataLoader)
kafka-1  | [2025-09-15 16:59:17,202] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing DelegationTokenPublisher controller id=1 with a snapshot at offset 5 (org.apache.kafka.image.loader.MetadataLoader)
kafka-1  | [2025-09-15 16:59:17,204] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing ControllerMetadataMetricsPublisher with a snapshot at offset 5 (org.apache.kafka.image.loader.MetadataLoader)
kafka-1  | [2025-09-15 16:59:17,204] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing AclPublisher controller id=1 with a snapshot at offset 5 (org.apache.kafka.image.loader.MetadataLoader)
kafka-1  | [2025-09-15 16:59:17,210] INFO [ControllerRegistrationManager id=1 incarnation=SIgJJ0SYQIOxZe6ug8gUdA] sendControllerRegistration: attempting to send ControllerRegistrationRequestData(controllerId=1, incarnationId=SIgJJ0SYQIOxZe6ug8gUdA, zkMigrationReady=false, listeners=[Listener(name='CONTROLLER', host='dd625650c2c2', port=9093, securityProtocol=0)], features=[Feature(name='group.version', minSupportedVersion=0, maxSupportedVersion=1), Feature(name='transaction.version', minSupportedVersion=0, maxSupportedVersion=2), Feature(name='eligible.leader.replicas.version', minSupportedVersion=0, maxSupportedVersion=1), Feature(name='kraft.version', minSupportedVersion=0, maxSupportedVersion=1), Feature(name='metadata.version', minSupportedVersion=7, maxSupportedVersion=25)]) (kafka.server.ControllerRegistrationManager)
kafka-1  | [2025-09-15 16:59:17,259] INFO [ControllerRegistrationManager id=1 incarnation=SIgJJ0SYQIOxZe6ug8gUdA] Our registration has been persisted to the metadata log. (kafka.server.ControllerRegistrationManager)
kafka-1  | [2025-09-15 16:59:17,261] INFO [ControllerRegistrationManager id=1 incarnation=SIgJJ0SYQIOxZe6ug8gUdA] RegistrationResponseHandler: controller acknowledged ControllerRegistrationRequest. (kafka.server.ControllerRegistrationManager)
kafka-1  | SLF4J(W): No SLF4J providers were found.
kafka-1  | SLF4J(W): Defaulting to no-operation (NOP) logger implementation
kafka-1  | SLF4J(W): See https://www.slf4j.org/codes.html#noProviders for further details.
kafka-1  | SLF4J(W): Class path contains SLF4J bindings targeting slf4j-api versions 1.7.x or earlier.
kafka-1  | SLF4J(W): Ignoring binding found at [jar:file:/opt/kafka/libs/log4j-slf4j-impl-2.24.3.jar!/org/slf4j/impl/StaticLoggerBinder.class]
kafka-1  | SLF4J(W): See https://www.slf4j.org/codes.html#ignoredBindings for an explanation.
kafka-1  | [2025-09-15 16:59:17,302] INFO Created new file /tmp/kafka-logs/remote-log-index-cache for RemoteIndexCache (org.apache.kafka.storage.internals.log.RemoteIndexCache)
kafka-1  | [2025-09-15 16:59:17,302] INFO RemoteIndexCache starts up in 1 ms. (org.apache.kafka.storage.internals.log.RemoteIndexCache)
kafka-1  | [2025-09-15 16:59:17,303] INFO [remote-log-index-cleaner]: Starting (org.apache.kafka.storage.internals.log.RemoteIndexCache$1)
kafka-1  | [2025-09-15 16:59:17,306] INFO [BrokerServer id=1] Waiting for controller quorum voters future (kafka.server.BrokerServer)
kafka-1  | [2025-09-15 16:59:17,306] INFO [BrokerServer id=1] Finished waiting for controller quorum voters future (kafka.server.BrokerServer)
kafka-1  | [2025-09-15 16:59:17,307] INFO [broker-1-to-controller-forwarding-channel-manager]: Starting (kafka.server.NodeToControllerRequestThread)
kafka-1  | [2025-09-15 16:59:17,308] INFO [broker-1-to-controller-forwarding-channel-manager]: Recorded new KRaft controller, from now on will use node kafka:9093 (id: 1 rack: null isFenced: false) (kafka.server.NodeToControllerRequestThread)
kafka-1  | [2025-09-15 16:59:17,310] INFO [client-metrics-reaper]: Starting (org.apache.kafka.server.util.timer.SystemTimerReaper$Reaper)
kafka-1  | [2025-09-15 16:59:17,327] INFO Updated connection-accept-rate max connection creation rate to 2147483647 (kafka.network.ConnectionQuotas)
kafka-1  | [2025-09-15 16:59:17,330] INFO [SocketServer listenerType=BROKER, nodeId=1] Created data-plane acceptor and processors for endpoint : ListenerName(PLAINTEXT_HOST) (kafka.network.SocketServer)
kafka-1  | [2025-09-15 16:59:17,331] INFO Updated connection-accept-rate max connection creation rate to 2147483647 (kafka.network.ConnectionQuotas)
kafka-1  | [2025-09-15 16:59:17,333] INFO [SocketServer listenerType=BROKER, nodeId=1] Created data-plane acceptor and processors for endpoint : ListenerName(PLAINTEXT) (kafka.network.SocketServer)
kafka-1  | [2025-09-15 16:59:17,335] INFO [broker-1-to-controller-alter-partition-channel-manager]: Starting (kafka.server.NodeToControllerRequestThread)
kafka-1  | [2025-09-15 16:59:17,336] INFO [broker-1-to-controller-alter-partition-channel-manager]: Recorded new KRaft controller, from now on will use node kafka:9093 (id: 1 rack: null isFenced: false) (kafka.server.NodeToControllerRequestThread)
kafka-1  | [2025-09-15 16:59:17,338] INFO [broker-1-to-controller-directory-assignments-channel-manager]: Starting (kafka.server.NodeToControllerRequestThread)
kafka-1  | [2025-09-15 16:59:17,339] INFO [broker-1-to-controller-directory-assignments-channel-manager]: Recorded new KRaft controller, from now on will use node kafka:9093 (id: 1 rack: null isFenced: false) (kafka.server.NodeToControllerRequestThread)
kafka-1  | [2025-09-15 16:59:17,341] INFO [ExpirationReaper-0-null]: Starting (org.apache.kafka.server.purgatory.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka-1  | [2025-09-15 16:59:17,341] INFO [ExpirationReaper-0-null]: Starting (org.apache.kafka.server.purgatory.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka-1  | [2025-09-15 16:59:17,342] INFO [ExpirationReaper-0-null]: Starting (org.apache.kafka.server.purgatory.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka-1  | [2025-09-15 16:59:17,342] INFO [ExpirationReaper-0-null]: Starting (org.apache.kafka.server.purgatory.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka-1  | [2025-09-15 16:59:17,343] INFO [ExpirationReaper-0-null]: Starting (org.apache.kafka.server.purgatory.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka-1  | [2025-09-15 16:59:17,344] INFO [ExpirationReaper-0-null]: Starting (org.apache.kafka.server.purgatory.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka-1  | [2025-09-15 16:59:17,352] INFO [BrokerServer id=1] Using no op persister (kafka.server.BrokerServer)
kafka-1  | [2025-09-15 16:59:17,353] INFO [group-coordinator-reaper]: Starting (org.apache.kafka.server.util.timer.SystemTimerReaper$Reaper)
kafka-1  | [2025-09-15 16:59:17,359] INFO [group-coordinator-event-processor-0]: Starting (org.apache.kafka.coordinator.common.runtime.MultiThreadedEventProcessor$EventProcessorThread)
kafka-1  | [2025-09-15 16:59:17,359] INFO [group-coordinator-event-processor-1]: Starting (org.apache.kafka.coordinator.common.runtime.MultiThreadedEventProcessor$EventProcessorThread)
kafka-1  | [2025-09-15 16:59:17,359] INFO [group-coordinator-event-processor-2]: Starting (org.apache.kafka.coordinator.common.runtime.MultiThreadedEventProcessor$EventProcessorThread)
kafka-1  | [2025-09-15 16:59:17,359] INFO [group-coordinator-event-processor-3]: Starting (org.apache.kafka.coordinator.common.runtime.MultiThreadedEventProcessor$EventProcessorThread)
kafka-1  | [2025-09-15 16:59:17,365] INFO Unable to read the broker epoch in /tmp/kafka-logs. (kafka.log.LogManager)
kafka-1  | [2025-09-15 16:59:17,366] INFO [broker-1-to-controller-heartbeat-channel-manager]: Starting (kafka.server.NodeToControllerRequestThread)
kafka-1  | [2025-09-15 16:59:17,366] INFO [broker-1-to-controller-heartbeat-channel-manager]: Recorded new KRaft controller, from now on will use node kafka:9093 (id: 1 rack: null isFenced: false) (kafka.server.NodeToControllerRequestThread)
kafka-1  | [2025-09-15 16:59:17,368] INFO [BrokerLifecycleManager id=1] Incarnation Xb7G_s7gSgKNpo6QDMK7nQ of broker 1 in cluster 4L6g3nShT-eMCtK--X86sw is now STARTING. (kafka.server.BrokerLifecycleManager)
kafka-1  | [2025-09-15 16:59:17,369] INFO [share-group-lock-timeout-reaper]: Starting (org.apache.kafka.server.util.timer.SystemTimerReaper$Reaper)
kafka-1  | [2025-09-15 16:59:17,371] INFO [ExpirationReaper-0-null]: Starting (org.apache.kafka.server.purgatory.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka-1  | [2025-09-15 16:59:17,384] INFO RemoteStorageManagerConfig values: 
kafka-1  | 	chunk.size = 4194304
kafka-1  | 	compression.enabled = false
kafka-1  | 	compression.heuristic.enabled = false
kafka-1  | 	custom.metadata.fields.include = []
kafka-1  | 	encryption.enabled = false
kafka-1  | 	iceberg.catalog.class = class org.apache.iceberg.rest.RESTCatalog
kafka-1  | 	iceberg.namespace = default
kafka-1  | 	key.prefix = 
kafka-1  | 	key.prefix.mask = false
kafka-1  | 	metrics.num.samples = 2
kafka-1  | 	metrics.recording.level = INFO
kafka-1  | 	metrics.sample.window.ms = 30000
kafka-1  | 	segment.format = iceberg
kafka-1  | 	storage.backend.class = class io.aiven.kafka.tieredstorage.storage.filesystem.FileSystemStorage
kafka-1  | 	structure.provider.class = class io.aiven.kafka.tieredstorage.iceberg.AvroSchemaRegistryStructureProvider
kafka-1  | 	upload.rate.limit.bytes.per.second = null
kafka-1  |  (org.apache.kafka.common.config.AbstractConfig)
kafka-1  | [2025-09-15 16:59:17,404] INFO [BrokerLifecycleManager id=1] Successfully registered broker 1 with broker epoch 7 (kafka.server.BrokerLifecycleManager)
kafka-1  | [2025-09-15 16:59:17,408] INFO [BrokerLifecycleManager id=1] The broker has caught up. Transitioning from STARTING to RECOVERY. (kafka.server.BrokerLifecycleManager)
kafka-1  | [2025-09-15 16:59:17,419] INFO [BrokerLifecycleManager id=1] The broker is in RECOVERY. (kafka.server.BrokerLifecycleManager)
kafka-1  | [2025-09-15 16:59:17,504] INFO FileSystemStorageConfig values: 
kafka-1  | 	overwrite.enabled = false
kafka-1  | 	root = /tmp
kafka-1  |  (org.apache.kafka.common.config.AbstractConfig)
kafka-1  | [2025-09-15 16:59:17,507] INFO ChunkManagerFactoryConfig values: 
kafka-1  | 	fetch.chunk.cache.class = null
kafka-1  |  (org.apache.kafka.common.config.AbstractConfig)
kafka-1  | [2025-09-15 16:59:17,513] INFO CacheConfig values: 
kafka-1  | 	get.timeout.ms = 10000
kafka-1  | 	retention.ms = 600000
kafka-1  | 	size = 10485760
kafka-1  | 	thread.pool.size = 0
kafka-1  |  (org.apache.kafka.common.config.AbstractConfig)
kafka-1  | [2025-09-15 16:59:17,535] INFO FileSystemStorageConfig values: 
kafka-1  | 	overwrite.enabled = false
kafka-1  | 	root = /tmp
kafka-1  |  (org.apache.kafka.common.config.AbstractConfig)
kafka-1  | [2025-09-15 16:59:17,536] INFO CacheConfig values: 
kafka-1  | 	get.timeout.ms = 10000
kafka-1  | 	retention.ms = 3600000
kafka-1  | 	size = 1000
kafka-1  | 	thread.pool.size = 0
kafka-1  |  (org.apache.kafka.common.config.AbstractConfig)
kafka-1  | [2025-09-15 16:59:17,889] INFO AvroSchemaRegistryStructureProviderConfig values: 
kafka-1  |  (org.apache.kafka.common.config.AbstractConfig)
kafka-1  | [2025-09-15 16:59:17,891] INFO KafkaAvroSerializerConfig values: 
kafka-1  | 	auto.register.schemas = false
kafka-1  | 	avro.reflection.allow.null = false
kafka-1  | 	avro.remove.java.properties = false
kafka-1  | 	avro.use.logical.type.converters = false
kafka-1  | 	basic.auth.credentials.source = URL
kafka-1  | 	basic.auth.user.info = [hidden]
kafka-1  | 	bearer.auth.cache.expiry.buffer.seconds = 300
kafka-1  | 	bearer.auth.client.id = null
kafka-1  | 	bearer.auth.client.secret = null
kafka-1  | 	bearer.auth.credentials.source = STATIC_TOKEN
kafka-1  | 	bearer.auth.custom.provider.class = null
kafka-1  | 	bearer.auth.identity.pool.id = null
kafka-1  | 	bearer.auth.issuer.endpoint.url = null
kafka-1  | 	bearer.auth.logical.cluster = null
kafka-1  | 	bearer.auth.scope = null
kafka-1  | 	bearer.auth.scope.claim.name = scope
kafka-1  | 	bearer.auth.sub.claim.name = sub
kafka-1  | 	bearer.auth.token = [hidden]
