Hello, World!33333333333333333333333333333333333333333333333333333333333333333
====--PcapFileProcess  fname:/home/avorovich/pcap/rp_tap0.pcap
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:58796-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:58848-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:48528-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:58824-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.61:39634-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:58862-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.61:39656-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:48556-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:58734-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.61:50974-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:48686-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:48700-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.61:39650-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:48496-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:58764-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:58682-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:48518-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.61:50974-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:58700-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:48470-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:58696-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:48540-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:48554-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.61:39658-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:58810-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.61:42332-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.61:39658-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:48618-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:58780-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:58842-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:48718-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:48634-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:58760-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:58746-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.61:48552-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:48672-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:58904-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:48588-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:48482-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:48480-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.61:40110-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.71:48530-192.168.110.51:1096
tcp_pair req for the rsp not found  tcp_pair_key_rev:192.168.110.61:39624-192.168.110.51:1096
======================client to broker 
gaps_pos!!!  seq_gap_pos_count:15
frame stats  tcp_pair_key:192.168.110.61:41072-192.168.110.51:1096  frame_count:197  syn_count:0  fin_count:0  rst_count:1  isn:001979239428  "seq_gap_pos_count %":0.0757576  "seq_gap_neg_count %":0
kafka stats  kafka_count:196  kafka_len_tot:000000025080  tcp_payload_len_tot:000000025080  ind_client_id_n:1
kafka client_id list (req only) 
client_id_key:consumer-sub-000-nOkgFv0-7
kafka_non_ack_count:109  pct_non_ack!!!:0.553299
kafka req  list  
kafka_corr_id:22184  ack:0  iframe:166194
kafka_corr_id:22188  ack:0  iframe:166541
kafka_corr_id:22190  ack:0  iframe:166933
kafka_corr_id:22194  ack:0  iframe:167040
kafka_corr_id:22196  ack:0  iframe:169173
kafka_corr_id:22200  ack:0  iframe:169277
kafka_corr_id:22202  ack:0  iframe:171060
kafka_corr_id:22203  ack:0  iframe:171130
kafka_corr_id:22204  ack:0  iframe:171230
kafka_corr_id:22208  ack:0  iframe:171342
kafka_corr_id:22210  ack:0  iframe:171376
kafka_corr_id:22214  ack:1  iframe:171561
kafka_corr_id:22218  ack:1  iframe:171637
kafka_corr_id:22222  ack:1  iframe:172569
kafka_corr_id:22226  ack:1  iframe:173073
kafka_corr_id:22230  ack:1  iframe:174328
kafka_corr_id:22234  ack:1  iframe:175945
kafka_corr_id:22238  ack:1  iframe:179268
kafka_corr_id:22242  ack:1  iframe:181983
kafka_corr_id:22246  ack:1  iframe:182265
kafka_corr_id:22250  ack:1  iframe:185402
kafka_corr_id:22254  ack:1  iframe:186283
kafka_corr_id:22258  ack:1  iframe:188072
kafka_corr_id:22264  ack:1  iframe:188379
kafka_corr_id:22268  ack:1  iframe:188671
kafka_corr_id:22272  ack:1  iframe:188852
kafka_corr_id:22276  ack:1  iframe:189350
kafka_corr_id:22280  ack:1  iframe:192519
kafka_corr_id:22284  ack:1  iframe:194646
kafka_corr_id:22288  ack:0  iframe:194914
kafka_corr_id:22296  ack:1  iframe:198966
kafka_corr_id:22304  ack:1  iframe:199535
kafka_corr_id:22308  ack:0  iframe:201280
kafka_corr_id:22312  ack:1  iframe:201791
kafka_corr_id:22316  ack:1  iframe:201941
kafka_corr_id:22320  ack:1  iframe:202636
kafka_corr_id:22324  ack:1  iframe:202845
kafka_corr_id:22326  ack:1  iframe:204093
kafka_corr_id:22327  ack:1  iframe:204204
=============broker to client 
gaps_pos!!!  seq_gap_pos_count:395
frame stats  tcp_pair_key:192.168.110.51:1096-192.168.110.61:41072  frame_count:6615  syn_count:0  fin_count:0  rst_count:0  isn:001707734536  "seq_gap_pos_count %":0.0597037  "seq_gap_neg_count %":0
kafka stats  kafka_count:103  kafka_len_tot:000187861065  tcp_payload_len_tot:000176014575  ind_client_id_n:0
kafka rsp without req!!  list  
kafka_corr_id:2021917953  iframe:12475
kafka_corr_id:21607  iframe:21138
kafka_corr_id:243533057  iframe:32182
kafka_corr_id:310641921  iframe:46570
kafka_corr_id:1384383745  iframe:58752
kafka_corr_id:209978625  iframe:69075
kafka_corr_id:21902  iframe:96159
kafka_corr_id:344196353  iframe:114944
kafka_corr_id:151093264  iframe:136540
kafka_corr_id:22058  iframe:138381
kafka_corr_id:1283720449  iframe:148360
kafka_corr_id:22292  iframe:198899
kafka_corr_id:22300  iframe:199526
======================client to broker 
gaps_pos!!!  seq_gap_pos_count:13
frame stats  tcp_pair_key:192.168.110.61:39634-192.168.110.51:1096  frame_count:183  syn_count:0  fin_count:0  rst_count:1  isn:001117367605  "seq_gap_pos_count %":0.0706522  "seq_gap_neg_count %":0
kafka stats  kafka_count:182  kafka_len_tot:000000023252  tcp_payload_len_tot:000000023252  ind_client_id_n:1
kafka client_id list (req only) 
client_id_key:consumer-sub-000-nOkgFv0-13
kafka_non_ack_count:29  pct_non_ack!!!:0.15847
kafka req  list  
kafka_corr_id:4960  ack:0  iframe:143
kafka_corr_id:4964  ack:1  iframe:591
kafka_corr_id:4968  ack:1  iframe:820
kafka_corr_id:4972  ack:1  iframe:1059
kafka_corr_id:4976  ack:1  iframe:2183
kafka_corr_id:4980  ack:1  iframe:3558
kafka_corr_id:4984  ack:0  iframe:5065
kafka_corr_id:4988  ack:1  iframe:5301
kafka_corr_id:4994  ack:0  iframe:5811
kafka_corr_id:4998  ack:1  iframe:6088
kafka_corr_id:5002  ack:0  iframe:7552
kafka_corr_id:5014  ack:1  iframe:9961
kafka_corr_id:5018  ack:1  iframe:10325
kafka_corr_id:5036  ack:1  iframe:11958
kafka_corr_id:5051  ack:0  iframe:12958
kafka_corr_id:5054  ack:1  iframe:16935
kafka_corr_id:5055  ack:1  iframe:17143
kafka_corr_id:5056  ack:1  iframe:17176
kafka_corr_id:5057  ack:1  iframe:18943
kafka_corr_id:5058  ack:1  iframe:23239
kafka_corr_id:5061  ack:0  iframe:30019
kafka_corr_id:5064  ack:0  iframe:30298
kafka_corr_id:5068  ack:1  iframe:30479
kafka_corr_id:5072  ack:1  iframe:30691
kafka_corr_id:5076  ack:1  iframe:31470
kafka_corr_id:5082  ack:1  iframe:31759
kafka_corr_id:5092  ack:1  iframe:32336
kafka_corr_id:5102  ack:1  iframe:33087
kafka_corr_id:5106  ack:1  iframe:33221
kafka_corr_id:5110  ack:1  iframe:38053
kafka_corr_id:5120  ack:1  iframe:39102
kafka_corr_id:5126  ack:1  iframe:39424
kafka_corr_id:5131  ack:1  iframe:40771
kafka_corr_id:5135  ack:0  iframe:41197
kafka_corr_id:5143  ack:1  iframe:41728
kafka_corr_id:5147  ack:1  iframe:42707
kafka_corr_id:5151  ack:1  iframe:44149
kafka_corr_id:5155  ack:1  iframe:44225
kafka_corr_id:5163  ack:1  iframe:48050
kafka_corr_id:5165  ack:1  iframe:49823
kafka_corr_id:5166  ack:1  iframe:49948
kafka_corr_id:5167  ack:1  iframe:53377
kafka_corr_id:5174  ack:1  iframe:60842
kafka_corr_id:5184  ack:1  iframe:61844
kafka_corr_id:5192  ack:1  iframe:62348
kafka_corr_id:5198  ack:1  iframe:62540
kafka_corr_id:5202  ack:1  iframe:62614
kafka_corr_id:5206  ack:1  iframe:62692
kafka_corr_id:5210  ack:1  iframe:63968
kafka_corr_id:5214  ack:1  iframe:64153
kafka_corr_id:5218  ack:1  iframe:67585
kafka_corr_id:5222  ack:1  iframe:69335
kafka_corr_id:5226  ack:1  iframe:69592
kafka_corr_id:5230  ack:1  iframe:70520
kafka_corr_id:5232  ack:1  iframe:74460
kafka_corr_id:5235  ack:1  iframe:74547
kafka_corr_id:5238  ack:1  iframe:74597
kafka_corr_id:5241  ack:1  iframe:77811
kafka_corr_id:5242  ack:1  iframe:78035
kafka_corr_id:5243  ack:1  iframe:78576
kafka_corr_id:5246  ack:0  iframe:80203
kafka_corr_id:5248  ack:1  iframe:81267
kafka_corr_id:5251  ack:1  iframe:82104
kafka_corr_id:5257  ack:1  iframe:82261
kafka_corr_id:5259  ack:1  iframe:82314
kafka_corr_id:5263  ack:1  iframe:82420
kafka_corr_id:5267  ack:1  iframe:85354
kafka_corr_id:5271  ack:1  iframe:85566
kafka_corr_id:5275  ack:0  iframe:85794
kafka_corr_id:5279  ack:1  iframe:86010
kafka_corr_id:5283  ack:0  iframe:87991
kafka_corr_id:5287  ack:1  iframe:90846
kafka_corr_id:5291  ack:1  iframe:92334
kafka_corr_id:5295  ack:1  iframe:92583
kafka_corr_id:5297  ack:1  iframe:96309
kafka_corr_id:5302  ack:1  iframe:98157
kafka_corr_id:5305  ack:1  iframe:99801
kafka_corr_id:5309  ack:1  iframe:100232
kafka_corr_id:5312  ack:1  iframe:101395
kafka_corr_id:5315  ack:1  iframe:101471
kafka_corr_id:5317  ack:1  iframe:102054
kafka_corr_id:5318  ack:1  iframe:102087
kafka_corr_id:5319  ack:1  iframe:102176
kafka_corr_id:5322  ack:1  iframe:102722
kafka_corr_id:5326  ack:1  iframe:103248
kafka_corr_id:5330  ack:1  iframe:106278
kafka_corr_id:5334  ack:1  iframe:106715
kafka_corr_id:5338  ack:1  iframe:107288
kafka_corr_id:5342  ack:1  iframe:107362
kafka_corr_id:5346  ack:1  iframe:107773
kafka_corr_id:5350  ack:1  iframe:109100
kafka_corr_id:5354  ack:0  iframe:109734
kafka_corr_id:5358  ack:1  iframe:109889
kafka_corr_id:5362  ack:1  iframe:111002
kafka_corr_id:5370  ack:1  iframe:111667
kafka_corr_id:5378  ack:1  iframe:115476
kafka_corr_id:5382  ack:1  iframe:115634
kafka_corr_id:5386  ack:1  iframe:116160
kafka_corr_id:5390  ack:1  iframe:116360
kafka_corr_id:5394  ack:1  iframe:118865
kafka_corr_id:5398  ack:1  iframe:119093
kafka_corr_id:5402  ack:0  iframe:120173
kafka_corr_id:5410  ack:0  iframe:121313
kafka_corr_id:5418  ack:0  iframe:121850
kafka_corr_id:5423  ack:1  iframe:126586
kafka_corr_id:5427  ack:0  iframe:126946
kafka_corr_id:5431  ack:1  iframe:128876
kafka_corr_id:5435  ack:1  iframe:135522
kafka_corr_id:5441  ack:1  iframe:135671
kafka_corr_id:5445  ack:0  iframe:135843
kafka_corr_id:5449  ack:1  iframe:136425
kafka_corr_id:5453  ack:1  iframe:136887
kafka_corr_id:5455  ack:1  iframe:136918
kafka_corr_id:5457  ack:1  iframe:136924
kafka_corr_id:5461  ack:1  iframe:137036
kafka_corr_id:5463  ack:1  iframe:139677
kafka_corr_id:5464  ack:1  iframe:141340
kafka_corr_id:5465  ack:1  iframe:141769
kafka_corr_id:5466  ack:1  iframe:142043
kafka_corr_id:5469  ack:1  iframe:142768
kafka_corr_id:5474  ack:0  iframe:143595
kafka_corr_id:5478  ack:1  iframe:147087
kafka_corr_id:5482  ack:1  iframe:147738
kafka_corr_id:5486  ack:1  iframe:147979
kafka_corr_id:5490  ack:0  iframe:149111
kafka_corr_id:5498  ack:1  iframe:151379
kafka_corr_id:5502  ack:1  iframe:151467
kafka_corr_id:5506  ack:1  iframe:152017
kafka_corr_id:5510  ack:0  iframe:153947
kafka_corr_id:5514  ack:1  iframe:154736
kafka_corr_id:5522  ack:1  iframe:156655
kafka_corr_id:5526  ack:1  iframe:157527
kafka_corr_id:5530  ack:0  iframe:157752
kafka_corr_id:5534  ack:1  iframe:158601
kafka_corr_id:5538  ack:1  iframe:158826
kafka_corr_id:5540  ack:1  iframe:158975
kafka_corr_id:5544  ack:1  iframe:159084
kafka_corr_id:5548  ack:1  iframe:159228
kafka_corr_id:5552  ack:1  iframe:159330
kafka_corr_id:5556  ack:1  iframe:159662
kafka_corr_id:5560  ack:1  iframe:164140
kafka_corr_id:5562  ack:1  iframe:167056
kafka_corr_id:5565  ack:1  iframe:167270
kafka_corr_id:5569  ack:1  iframe:167408
kafka_corr_id:5571  ack:1  iframe:167501
kafka_corr_id:5575  ack:0  iframe:167715
kafka_corr_id:5583  ack:0  iframe:169873
kafka_corr_id:5585  ack:1  iframe:171063
kafka_corr_id:5586  ack:1  iframe:171344
kafka_corr_id:5588  ack:1  iframe:171379
kafka_corr_id:5591  ack:1  iframe:173641
kafka_corr_id:5595  ack:1  iframe:174145
kafka_corr_id:5599  ack:1  iframe:177414
